rate_date,base_currency,target_currency,exchange_rate,collection_timestamp
2026-06-19,EUR,AUD,1.6348,2026-06-21 19:14:49.354547
2026-06-19,EUR,CAD,1.6228,2026-06-21 19:14:49.354547
2026-06-19,EUR,CHF,0.9248,2026-06-21 19:14:49.354547
2026-06-19,EUR,GBP,0.86653,2026-06-21 19:14:49.354547
2026-06-19,EUR,INR,108.1675,2026-06-21 19:14:49.354547
2026-06-19,EUR,JPY,184.88,2026-06-21 19:14:49.354547
2026-06-19,EUR,USD,1.1467,2026-06-21 19:14:49.354547
